gene	chrom	start	end
Smp_000790	SM_V7_3	50005541	50101123
Smp_000810	SM_V7_3	49980631	49985490
Smp_000820	SM_V7_3	49937571	49938288
Smp_000830	SM_V7_3	49897783	49921532
Smp_000850	SM_V7_3	49839952	49850060
Smp_000870	SM_V7_3	49783356	49825553
Smp_000880	SM_V7_3	49763253	49763907
Smp_000900	SM_V7_3	49645587	49647689
Smp_000910	SM_V7_3	49531585	49561389
Smp_000950	SM_V7_3	49468673	49471453
Smp_000980	SM_V7_3	49409533	49410837
Smp_000990	SM_V7_3	49369485	49409359
Smp_001000	SM_V7_3	49351789	49352728
Smp_001020	SM_V7_3	49296523	49317835
Smp_001030	SM_V7_3	49239655	49295068
Smp_001040	SM_V7_3	49166195	49190531
Smp_001070	SM_V7_3	49042382	49054888
Smp_001080	SM_V7_3	48984442	48985119
Smp_001090	SM_V7_3	48932792	48971295
Smp_001095	SM_V7_3	48908130	48932745
Smp_001100	SM_V7_3	48801900	48893465
Smp_001120	SM_V7_3	48791669	48795262
Smp_001160	SM_V7_3	48652342	48670105
Smp_001170	SM_V7_3	48611122	48643805
Smp_001180	SM_V7_3	48544846	48595675
Smp_001210	SM_V7_2	4264409	4310333
Smp_001360	SM_V7_2	3494855	3503146
Smp_001390	SM_V7_2	3368986	3385480
Smp_001410	SM_V7_2	3197526	3206394
Smp_001420	SM_V7_2	3171682	3190782
Smp_001500	SM_V7_2	23514958	23519142
Smp_001530	SM_V7_2	23446858	23469192
Smp_001560	SM_V7_2	23323578	23335841
Smp_001590	SM_V7_2	23197242	23204827
Smp_001610	SM_V7_2	23166290	23170067
Smp_001640	SM_V7_2	23026082	23042797
Smp_001780	SM_V7_2	22601212	22618347
Smp_001830	SM_V7_6	3436889	3444730
Smp_001890	SM_V7_6	3604852	3612535
Smp_001900	SM_V7_6	3658888	3741525
Smp_001940	SM_V7_ZW	54824540	54836519
Smp_001950	SM_V7_6	3929802	3959848
Smp_001960	SM_V7_6	3965143	3979338
Smp_001980	SM_V7_6	4048899	4061278
Smp_002010	SM_V7_6	4135752	4137976
Smp_002060	SM_V7_6	4257719	4270378
Smp_002070	SM_V7_6	4274032	4280104
Smp_002080	SM_V7_6	4298642	4308689
Smp_002100	SM_V7_6	4430355	4437557
Smp_002160	SM_V7_6	4615917	4634761
Smp_002180	SM_V7_6	4696864	4705191
Smp_002230	SM_V7_6	4833808	4851528
Smp_002280	SM_V7_6	5129308	5160055
Smp_002380	SM_V7_2	35399036	35410852
Smp_002410	SM_V7_2	35496326	35508616
Smp_002510	SM_V7_3	30355375	30365375
Smp_002550	SM_V7_3	30446734	30460341
Smp_002600	SM_V7_3	30565305	30588198
Smp_002630	SM_V7_6	12674509	12676449
Smp_002640	SM_V7_3	30695135	30730711
Smp_002740	SM_V7_3	30918315	30919511
Smp_002820	SM_V7_3	31064502	31071190
Smp_002840	SM_V7_3	31081835	31098840
Smp_002860	SM_V7_3	31148819	31151154
Smp_002870	SM_V7_3	31160874	31164980
Smp_002880	SM_V7_3	31171080	31175550
Smp_002920	SM_V7_3	31249758	31253591
Smp_002950	SM_V7_2	6371082	6372492
Smp_003000	SM_V7_ZW	453436	462240
Smp_003130	SM_V7_1	13968339	13976864
Smp_003140	SM_V7_1	13936338	13958694
Smp_003190	SM_V7_1	13724198	13726731
Smp_003230	SM_V7_1	13459447	13476145
Smp_003250	SM_V7_1	13433857	13438305
Smp_003270	SM_V7_7	6833189	6857353
Smp_003280	SM_V7_1	13340834	13392010
Smp_003300	SM_V7_1	13297427	13308075
Smp_003330	SM_V7_1	13240735	13245313
Smp_003340	SM_V7_1	13200227	13232383
Smp_003410	SM_V7_1	12982556	12985305
Smp_003440	SM_V7_1	12819936	12849870
Smp_003600	SM_V7_1	12001047	12005082
Smp_003610	SM_V7_1	11990227	11994352
Smp_003620	SM_V7_1	11955356	11980971
Smp_003630	SM_V7_1	11935973	11943032
Smp_003660	SM_V7_1	11875863	11880412
Smp_003670	SM_V7_1	11855334	11864632
Smp_003700	SM_V7_1	11797757	11800291
Smp_003710	SM_V7_5	9113836	9129772
Smp_003760	SM_V7_1	11595604	11612580
Smp_003770	SM_V7_1	11591104	11595488
Smp_003860	SM_V7_1	11169647	11175380
Smp_003900	SM_V7_1	10980821	11026345
Smp_003930	SM_V7_1	10911028	10914837
Smp_003940	SM_V7_1	10895441	10911025
Smp_003970	SM_V7_1	10804564	10814297
Smp_003980	SM_V7_1	10746281	10802479
Smp_003990	SM_V7_1	10678306	10698197
Smp_004000	SM_V7_1	10668251	10676730
Smp_004060	SM_V7_1	10516807	10528132
Smp_004070	SM_V7_1	10483407	10504444
Smp_004080	SM_V7_1	10456036	10475757
Smp_004160	SM_V7_2	21219915	21223624
Smp_004170	SM_V7_2	21209828	21219897
Smp_004190	SM_V7_2	21142668	21162983
Smp_004200	SM_V7_2	21112285	21142574
Smp_004220	SM_V7_2	21089168	21096798
Smp_004260	SM_V7_2	20954991	20982932
Smp_004310	SM_V7_3	7736791	7737843
Smp_004350	SM_V7_3	7687542	7692751
Smp_004360	SM_V7_3	7670933	7677598
Smp_004420	SM_V7_3	7520042	7526375
Smp_004440	SM_V7_3	7417693	7449618
Smp_004470	SM_V7_3	7333402	7336821
Smp_004480	SM_V7_3	7297792	7310966
Smp_004550	SM_V7_3	7101467	7136013
Smp_004590	SM_V7_2	10551490	10564634
Smp_004600	SM_V7_2	10634958	10640310
Smp_004630	SM_V7_2	10734243	10746454
Smp_004640	SM_V7_2	10756318	10767824
Smp_004680	SM_V7_2	10882158	10886070
Smp_004690	SM_V7_2	10908929	10921174
Smp_004710	SM_V7_2	10986957	11014264
Smp_004730	SM_V7_2	11022860	11178468
Smp_004780	SM_V7_2	11325912	11327561
Smp_004810	SM_V7_2	11485673	11496418
Smp_004820	SM_V7_2	11505375	11506193
Smp_004910	SM_V7_ZW	72650497	72683251
Smp_004940	SM_V7_1	50354527	50356382
Smp_004980	SM_V7_1	50385587	50402902
Smp_004990	SM_V7_1	50443646	50454462
Smp_005000	SM_V7_1	50430236	50441766
Smp_005010	SM_V7_ZW	60910114	60928938
Smp_005020	SM_V7_ZW	60929642	60937270
Smp_005070	SM_V7_1	50292406	50301560
Smp_005080	SM_V7_1	50279764	50284108
Smp_005140	SM_V7_1	50172880	50175722
Smp_005160	SM_V7_1	50098256	50114332
Smp_005180	SM_V7_1	50081546	50090493
Smp_005190	SM_V7_1	49999656	50063490
Smp_005210	SM_V7_1	49991066	49999562
Smp_005230	SM_V7_1	49901835	49909116
Smp_005260	SM_V7_6	13808898	13812806
Smp_005280	SM_V7_6	13659384	13677773
Smp_005290	SM_V7_6	13632464	13651788
Smp_005320	SM_V7_6	13556912	13560700
Smp_005330	SM_V7_6	13529924	13554802
Smp_005390	SM_V7_1	81148198	81169915
Smp_005470	SM_V7_1	80926603	80928858
Smp_005500	SM_V7_1	80755862	80807244
Smp_005520	SM_V7_1	80704072	80724506
Smp_005640	SM_V7_7	18640053	18653207
Smp_005670	SM_V7_7	18523655	18530980
Smp_005720	SM_V7_7	15201859	15223461
Smp_005780	SM_V7_7	15075846	15083006
Smp_005790	SM_V7_7	15039504	15061102
Smp_005880	SM_V7_7	14685455	14705995
Smp_005900	SM_V7_7	14555494	14576180
Smp_005910	SM_V7_7	14523067	14547500
Smp_005960	SM_V7_7	14427923	14441510
Smp_006000	SM_V7_7	14369691	14376870
Smp_006060	SM_V7_7	14123400	14124854
Smp_006190	SM_V7_ZW	25614420	25635732
Smp_006250	SM_V7_ZW	25176173	25190243
Smp_006320	SM_V7_ZW	25384117	25388811
Smp_006340	SM_V7_ZW	26322211	26330438
Smp_006350	SM_V7_ZW	26330424	26375177
Smp_006390	SM_V7_5	7642985	7648288
Smp_006440	SM_V7_5	7536082	7542998
Smp_006550	SM_V7_1	36316205	36326787
Smp_006560	SM_V7_1	36379639	36380617
Smp_006590	SM_V7_1	36521731	36534655
Smp_006630	SM_V7_1	36603583	36620291
Smp_006680	SM_V7_1	36799369	36803434
Smp_006690	SM_V7_1	36821168	36832821
Smp_006700	SM_V7_1	36831109	36864944
Smp_006710	SM_V7_1	36883532	36887239
Smp_006720	SM_V7_1	36887259	36912724
Smp_006730	SM_V7_1	36934675	36952314
Smp_006750	SM_V7_1	37050950	37063794
Smp_006760	SM_V7_1	37025008	37048433
Smp_006780	SM_V7_1	62643438	62646704
Smp_006810	SM_V7_1	62762436	62775514
Smp_006830	SM_V7_1	62829542	62832264
Smp_006840	SM_V7_1	62845300	62854731
Smp_006850	SM_V7_1	62856901	62857636
Smp_006860	SM_V7_1	62879710	62905584
Smp_006920	SM_V7_ZW	11417589	11437938
Smp_006930	SM_V7_ZW	11526840	11555175
Smp_006980	SM_V7_ZW	11645984	11646767
Smp_007000	SM_V7_2	45410644	45416598
Smp_007070	SM_V7_1	42207659	42243061
Smp_007170	SM_V7_1	41883823	41903218
Smp_007180	SM_V7_1	41849783	41869449
Smp_007190	SM_V7_1	41836942	41846689
Smp_007210	SM_V7_1	41748923	41788627
Smp_007260	SM_V7_1	41615906	41630130
Smp_007270	SM_V7_1	41574046	41600485
Smp_007290	SM_V7_1	41538506	41556796
Smp_007300	SM_V7_1	41530226	41530822
Smp_007330	SM_V7_1	41453548	41492252
Smp_007380	SM_V7_1	41374847	41382272
Smp_007450	SM_V7_ZW	18465387	18466585
Smp_007500	SM_V7_3	28152976	28168242
Smp_007510	SM_V7_3	28134270	28138892
Smp_007540	SM_V7_3	19334539	19336567
Smp_007550	SM_V7_3	19343872	19360349
Smp_007570	SM_V7_3	19382392	19384209
Smp_007630	SM_V7_ZW	19322086	19324784
Smp_007650	SM_V7_ZW	19268938	19317602
Smp_007660	SM_V7_ZW	19234109	19252594
Smp_007670	SM_V7_ZW	19223841	19230984
Smp_007690	SM_V7_ZW	19182311	19203964
Smp_007710	SM_V7_ZW	19111908	19178988
Smp_007730	SM_V7_ZW	19085288	19086529
Smp_007760	SM_V7_ZW	18913533	18926173
Smp_007890	SM_V7_3	48452076	48468667
Smp_007900	SM_V7_3	48448011	48450055
Smp_007960	SM_V7_4	30094551	30110256
Smp_007970	SM_V7_4	30089263	30092409
Smp_008070	SM_V7_7	16839180	16840003
Smp_008120	SM_V7_1	57462841	57476316
Smp_008140	SM_V7_1	57542082	57554047
Smp_008220	SM_V7_1	57832241	57855825
Smp_008230	SM_V7_1	57866015	57878335
Smp_008260	SM_V7_1	57917585	57942528
Smp_008290	SM_V7_1	57996935	58056968
Smp_008310	SM_V7_1	58093746	58101891
Smp_008320	SM_V7_1	58123501	58132581
Smp_008360	SM_V7_1	58177935	58180439
Smp_008400	SM_V7_1	58235840	58237035
Smp_008430	SM_V7_1	42907707	42916160
Smp_008440	SM_V7_1	42915979	42919726
Smp_008450	SM_V7_1	42931267	42937181
Smp_008470	SM_V7_1	42880928	42895933
Smp_008490	SM_V7_1	42827318	42836453
Smp_008500	SM_V7_1	42764227	42777757
Smp_008545	SM_V7_4	7576526	7580214
Smp_008580	SM_V7_4	7511042	7517054
Smp_008610	SM_V7_4	7419717	7439104
Smp_008620	SM_V7_4	7367793	7413056
Smp_008660	SM_V7_4	21956808	21989132
Smp_008710	SM_V7_4	21618828	21693600
Smp_008770	SM_V7_4	21562158	21565612
Smp_008830	SM_V7_4	21452071	21466394
Smp_008850	SM_V7_4	21200791	21202975
Smp_008900	SM_V7_4	20827272	20847467
Smp_009020	SM_V7_4	20451936	20468091
Smp_009030	SM_V7_4	20375406	20383210
Smp_009070	SM_V7_4	20284375	20290742
Smp_009150	SM_V7_4	20088250	20115460
Smp_009230	SM_V7_6	23365419	23365976
Smp_009250	SM_V7_6	23263717	23276943
Smp_009310	SM_V7_6	22922885	22924741
Smp_009320	SM_V7_6	22886527	22891220
Smp_009340	SM_V7_6	22832304	22837389
Smp_009390	SM_V7_6	22692554	22698859
Smp_009400	SM_V7_6	22663213	22683967
Smp_009420	SM_V7_6	22622603	22631682
Smp_009430	SM_V7_6	22600725	22605589
Smp_009520	SM_V7_2	25242656	25261722
Smp_009540	SM_V7_2	25282856	25313120
Smp_009550	SM_V7_2	25369729	25394083
Smp_009560	SM_V7_2	25395267	25413350
Smp_009600	SM_V7_1	50546467	50555522
Smp_009630	SM_V7_1	50661336	50688598
Smp_009650	SM_V7_1	50725575	50730958
Smp_009690	SM_V7_ZW	29454011	29455472
Smp_009760	SM_V7_1	45457658	45470630
Smp_009800	SM_V7_1	45585724	45624658
Smp_009810	SM_V7_1	45653626	45663505
Smp_009830	SM_V7_1	45699044	45705055
Smp_009990	SM_V7_3	26041585	26079085
Smp_010090	SM_V7_3	25675725	25683912
Smp_010100	SM_V7_3	25640338	25661221
Smp_010110	SM_V7_3	25622865	25637867
Smp_010140	SM_V7_3	25557805	25560504
Smp_010160	SM_V7_3	25501105	25509496
Smp_010230	SM_V7_1	46253579	46277053
Smp_010250	SM_V7_1	46187439	46211161
Smp_010260	SM_V7_1	46168559	46177345
Smp_010280	SM_V7_1	46102559	46131245
Smp_010290	SM_V7_7	3633449	3645980
Smp_010370	SM_V7_7	4023627	4026012
Smp_010380	SM_V7_7	4033036	4046656
Smp_010400	SM_V7_7	4113436	4115281
Smp_010450	SM_V7_7	4266306	4272435
Smp_010550	SM_V7_7	4850401	4867182
Smp_010620	SM_V7_7	5271550	5284077
Smp_010690	SM_V7_7	5585061	5597225
Smp_010710	SM_V7_7	5639480	5660091
Smp_010720	SM_V7_7	5689073	5694406
Smp_010800	SM_V7_7	6157874	6162482
Smp_010820	SM_V7_7	6218116	6237925
Smp_010930	SM_V7_7	6713412	6741577
Smp_010940	SM_V7_7	6749226	6752008
Smp_011000	SM_V7_6	20022992	20048592
Smp_011010	SM_V7_6	20003733	20012968
Smp_011030	SM_V7_6	19961071	19965773
Smp_011120	SM_V7_2	12672773	12685327
Smp_011150	SM_V7_2	12570634	12581359
Smp_011220	SM_V7_2	12398763	12435579
Smp_011230	SM_V7_2	12380923	12389656
Smp_011270	SM_V7_2	12336843	12345719
Smp_011560	SM_V7_ZW	33868030	33893191
Smp_011570	SM_V7_ZW	33908965	33909923
Smp_011640	SM_V7_ZW	34038205	34059406
Smp_011660	SM_V7_ZW	34077165	34125264
Smp_011680	SM_V7_ZW	34185179	34220131
Smp_011700	SM_V7_ZW	34303455	34354186
Smp_011710	SM_V7_ZW	34360474	34369734
Smp_011720	SM_V7_ZW	34428298	34434882
Smp_011830	SM_V7_ZW	34655838	34671701
Smp_011860	SM_V7_ZW	34753966	34769729
Smp_011870	SM_V7_ZW	34769889	34771032
Smp_011960	SM_V7_ZW	32724957	32750413
Smp_011980	SM_V7_ZW	32889964	32897072
Smp_011990	SM_V7_ZW	32908536	32940224
Smp_012000	SM_V7_ZW	32951858	32977552
Smp_012010	SM_V7_6	7695147	7718492
Smp_012030	SM_V7_ZW	33045996	33061500
Smp_012050	SM_V7_ZW	33125355	33125831
Smp_012070	SM_V7_ZW	33138546	33139326
Smp_012110	SM_V7_ZW	33200426	33204120
Smp_012150	SM_V7_ZW	33281965	33300832
Smp_012200	SM_V7_ZW	33467280	33472521
Smp_012280	SM_V7_2	27768412	27781956
Smp_012340	SM_V7_2	28025422	28029190
Smp_012350	SM_V7_2	28032498	28052809
Smp_012380	SM_V7_2	28163786	28228078
Smp_012400	SM_V7_2	28242053	28247860
Smp_012410	SM_V7_2	28248115	28254860
Smp_012440	SM_V7_2	28353664	28365058
Smp_012470	SM_V7_1	34167473	34178706
Smp_012480	SM_V7_1	34134297	34150769
Smp_012530	SM_V7_1	34075113	34078268
Smp_012540	SM_V7_1	34059238	34070719
Smp_012570	SM_V7_1	33994997	34009629
Smp_012580	SM_V7_1	33936923	33993101
Smp_012670	SM_V7_1	33715395	33719150
Smp_012690	SM_V7_1	33699753	33709000
Smp_012720	SM_V7_1	33616515	33647682
Smp_012740	SM_V7_1	33585855	33591044
Smp_012750	SM_V7_1	33556772	33578221
Smp_012780	SM_V7_1	33347426	33384261
Smp_012790	SM_V7_1	33335155	33336820
Smp_012800	SM_V7_1	33329240	33329701
Smp_012810	SM_V7_1	33263223	33286507
Smp_012860	SM_V7_1	33134803	33143037
Smp_012900	SM_V7_1	32912906	32922149
Smp_012920	SM_V7_1	32876437	32878892
Smp_012930	SM_V7_1	32777976	32800079
Smp_012980	SM_V7_3	26718250	26729622
Smp_013040	SM_V7_3	26284614	26297139
Smp_013050	SM_V7_3	26345413	26366820
Smp_013060	SM_V7_3	26384113	26397620
Smp_013070	SM_V7_3	26449752	26453139
Smp_013080	SM_V7_3	26470941	26502011
Smp_013150	SM_V7_5	19558446	19565827
Smp_013200	SM_V7_5	19366567	19380352
Smp_013210	SM_V7_5	19288968	19307820
Smp_013300	SM_V7_3	21909477	21914181
Smp_013360	SM_V7_3	22364167	22370741
Smp_013370	SM_V7_3	22370744	22375139
Smp_013440	SM_V7_3	22574226	22604664
Smp_013460	SM_V7_3	22656466	22674890
Smp_013470	SM_V7_3	22694356	22703190
Smp_013520	SM_V7_3	22966574	22985021
Smp_013540	SM_V7_3	23043175	23048000
Smp_013600	SM_V7_3	23249248	23258770
Smp_013610	SM_V7_3	23291053	23308757
Smp_013690	SM_V7_1	10247736	10272014
Smp_013790	SM_V7_2	22112563	22121638
Smp_013810	SM_V7_2	22094093	22109221
Smp_013840	SM_V7_2	22000532	22032787
Smp_013860	SM_V7_2	21939742	21972124
Smp_013870	SM_V7_2	21920034	21923455
Smp_013930	SM_V7_2	21803589	21815119
Smp_013950	SM_V7_2	21790728	21799005
Smp_014010	SM_V7_2	21675169	21694973
Smp_014020	SM_V7_2	21653119	21664205
Smp_014050	SM_V7_ZW	70551926	70565178
Smp_014080	SM_V7_ZW	70502550	70526697
Smp_014170	SM_V7_1	30826911	30843757
Smp_014260	SM_V7_1	30366619	30377452
Smp_014280	SM_V7_1	30344766	30352883
Smp_014290	SM_V7_1	30319733	30335722
Smp_014400	SM_V7_2	32167657	32172115
Smp_014410	SM_V7_2	32093356	32097821
Smp_014430	SM_V7_2	32040196	32061890
Smp_014570	SM_V7_2	31514052	31536315
Smp_014620	SM_V7_2	31402179	31413323
Smp_014650	SM_V7_2	31326660	31327495
Smp_014660	SM_V7_2	31291171	31307594
Smp_014670	SM_V7_2	31217678	31248059
Smp_014680	SM_V7_2	31196579	31198374
Smp_014730	SM_V7_2	31063338	31072303
Smp_014780	SM_V7_2	30951021	30987407
Smp_014800	SM_V7_2	30857426	30864814
Smp_014840	SM_V7_2	30776080	30842080
Smp_014850	SM_V7_2	30741911	30767816
Smp_015020	SM_V7_7	1690976	1731197
Smp_015050	SM_V7_7	1607430	1635987
Smp_015090	SM_V7_7	1468961	1493375
Smp_015100	SM_V7_7	1449528	1455867
Smp_015160	SM_V7_ZW	68045003	68045275
Smp_015220	SM_V7_ZW	67939356	67948582
Smp_015390	SM_V7_ZW	67079336	67095124
Smp_015440	SM_V7_ZW	66969330	66975445
Smp_015480	SM_V7_ZW	2439473	2460186
Smp_015490	SM_V7_ZW	2465467	2466087
Smp_015530	SM_V7_ZW	2533837	2536289
Smp_015630	SM_V7_ZW	2791720	2794818
Smp_015670	SM_V7_ZW	2956482	2957424
Smp_015690	SM_V7_ZW	3035923	3052692
Smp_015710	SM_V7_ZW	3103257	3142672
Smp_015720	SM_V7_ZW	3156666	3168314
Smp_015730	SM_V7_ZW	3178706	3179522
Smp_015760	SM_V7_ZW	3295606	3302167
Smp_015780	SM_V7_ZW	3329972	3357403
Smp_015800	SM_V7_ZW	3386159	3405147
Smp_015820	SM_V7_ZW	3456939	3507926
Smp_015840	SM_V7_ZW	3645149	3652535
Smp_015850	SM_V7_ZW	3665779	3667347
Smp_015860	SM_V7_ZW	3671230	3674255
Smp_015880	SM_V7_ZW	3733321	3766885
Smp_015900	SM_V7_4	37608657	37621102
Smp_015980	SM_V7_4	37799425	37802230
Smp_016050	SM_V7_1	6236036	6262414
Smp_016090	SM_V7_1	6454846	6494596
Smp_016130	SM_V7_1	6757196	6772779
Smp_016180	SM_V7_1	6607681	6664706
Smp_016200	SM_V7_1	6562640	6583294
Smp_016250	SM_V7_2	10043799	10049485
Smp_016340	SM_V7_2	9752360	9766777
Smp_016380	SM_V7_2	9586471	9600217
Smp_016410	SM_V7_2	9517467	9543817
Smp_016490	SM_V7_2	9281874	9297172
Smp_016510	SM_V7_2	9245826	9256603
Smp_016540	SM_V7_2	9094863	9099022
Smp_016550	SM_V7_2	9067106	9095660
Smp_016600	SM_V7_6	20969237	21057842
Smp_016630	SM_V7_6	21169851	21227698
Smp_016640	SM_V7_3	36481069	36489331
Smp_016670	SM_V7_6	21341658	21346968
Smp_016730	SM_V7_6	21574171	21589902
Smp_016750	SM_V7_6	21644265	21658282
Smp_016780	SM_V7_6	21740076	21741615
Smp_016810	SM_V7_6	21822721	21849532
Smp_016870	SM_V7_6	22229621	22240908
Smp_016900	SM_V7_6	22300924	22303246
Smp_016910	SM_V7_6	22306091	22313206
Smp_016920	SM_V7_6	22334110	22361865
Smp_016990	SM_V7_ZW	81611484	81627298
Smp_017010	SM_V7_ZW	81679914	81690521
Smp_017020	SM_V7_ZW	81750635	81776580
Smp_017070	SM_V7_ZW	82052470	82074914
Smp_017230	SM_V7_2	5288673	5331300
Smp_017280	SM_V7_2	5596173	5596807
Smp_017290	SM_V7_2	5600470	5604939
Smp_017360	SM_V7_2	5717076	5729529
Smp_017420	SM_V7_3	47234386	47257159
Smp_017430	SM_V7_1	86488504	86490812
Smp_017470	SM_V7_1	86327213	86355177
Smp_017520	SM_V7_1	86129959	86168859
Smp_017610	SM_V7_1	18572047	18601039
Smp_017640	SM_V7_1	18537053	18549004
Smp_017650	SM_V7_1	18506179	18529513
Smp_017660	SM_V7_1	18478655	18494805
Smp_017710	SM_V7_ZW	13658865	13698116
Smp_017730	SM_V7_ZW	13506406	13615197
Smp_017750	SM_V7_ZW	49963500	49979101
Smp_017830	SM_V7_ZW	49705158	49707138
Smp_017860	SM_V7_ZW	49469903	49474710
Smp_017870	SM_V7_ZW	49438534	49453678
Smp_017880	SM_V7_ZW	49368352	49382110
Smp_017890	SM_V7_ZW	49360614	49368272
Smp_017990	SM_V7_ZW	48988090	48988841
Smp_018010	SM_V7_ZW	48906325	48922250
Smp_018020	SM_V7_ZW	48892800	48895041
Smp_018030	SM_V7_ZW	48884920	48891911
Smp_018160	SM_V7_ZW	48298289	48367291
Smp_018170	SM_V7_ZW	48281095	48294349
Smp_018210	SM_V7_ZW	48150465	48167679
Smp_018220	SM_V7_ZW	48118385	48128619
Smp_018240	SM_V7_ZW	48084932	48101328
Smp_018250	SM_V7_3	17493725	17520599
Smp_018260	SM_V7_3	17532671	17550221
Smp_018280	SM_V7_3	17605285	17639467
Smp_018290	SM_V7_3	17647165	17656823
Smp_018310	SM_V7_3	17699585	17700191
Smp_018360	SM_V7_3	17785197	17818172
Smp_018400	SM_V7_3	18058541	18071052
Smp_018430	SM_V7_3	18094496	18111150
Smp_018440	SM_V7_3	18125460	18186900
Smp_018460	SM_V7_3	18211044	18239190
Smp_018500	SM_V7_3	18267214	18268680
Smp_018530	SM_V7_3	18323571	18335710
Smp_018550	SM_V7_3	18442218	18456400
Smp_018570	SM_V7_3	18486097	18497820
Smp_018580	SM_V7_3	18502164	18515023
Smp_018590	SM_V7_3	18517225	18537720
Smp_018610	SM_V7_3	18562023	18573290
Smp_018620	SM_V7_3	18580865	18609929
Smp_018640	SM_V7_3	18633905	18643154
Smp_018680	SM_V7_3	18776715	18795479
Smp_018710	SM_V7_3	18913625	18932370
Smp_018760	SM_V7_3	19008702	19023151
Smp_018790	SM_V7_3	19047861	19070612
Smp_018800	SM_V7_3	43446664	43459194
Smp_018870	SM_V7_3	43729174	43744348
Smp_018880	SM_V7_3	43748824	43750010
Smp_018930	SM_V7_3	43963750	43967835
Smp_018940	SM_V7_3	43968420	43972806
Smp_018950	SM_V7_3	43976500	43991404
Smp_018980	SM_V7_3	44061709	44108976
Smp_018990	SM_V7_3	44181351	44182106
Smp_019010	SM_V7_3	44215513	44224286
Smp_019030	SM_V7_3	44281336	44291570
Smp_019040	SM_V7_3	44301083	44341192
Smp_019050	SM_V7_3	44363016	44363637
Smp_019060	SM_V7_3	44367328	44371052
Smp_019100	SM_V7_1	46828757	46839018
Smp_019130	SM_V7_1	46997506	47017231
Smp_019170	SM_V7_1	47160808	47189322
Smp_019190	SM_V7_1	47212980	47221302
Smp_019260	SM_V7_1	47473434	47486172
Smp_019280	SM_V7_1	47493826	47537900
Smp_019310	SM_V7_1	47708250	47710990
Smp_019340	SM_V7_1	47755156	47766476
Smp_019350	SM_V7_1	47776607	47791636
Smp_019380	SM_V7_1	47844795	47853586
Smp_019430	SM_V7_1	47930160	47934594
Smp_019440	SM_V7_1	47953530	47954214
Smp_019460	SM_V7_1	48044950	48052006
Smp_019490	SM_V7_1	48182389	48185505
Smp_019620	SM_V7_ZW	29628826	29640153
Smp_019630	SM_V7_ZW	29642896	29653733
Smp_019640	SM_V7_ZW	29679136	29683449
Smp_019680	SM_V7_ZW	29780606	29794320
Smp_019690	SM_V7_ZW	29796097	29797982
Smp_019730	SM_V7_ZW	29919199	29923122
Smp_019750	SM_V7_ZW	29956244	29957079
Smp_019760	SM_V7_ZW	29963253	29989295
Smp_019790	SM_V7_ZW	30122693	30164232
Smp_019820	SM_V7_ZW	30362583	30373674
Smp_019840	SM_V7_ZW	30313484	30351089
Smp_019880	SM_V7_1	27568551	27569709
