Gene_ID_mans,First_Base_GFF_mans,Scaffold_ID_jap,Scaffold_BlatBestloc_jap,Depth_40640_jap_Picardetal2018,Depth_40641_jap_Picardetal2018,Coverage_Assignment_jap_Picardetal2018,FST_jap
Smp_211250,9954458,SJC_S000041,PAR,33,30,Autosome,0.00132750090909091
Smp_347370,9960858,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
Smp_344570,9978353,SJC_S000041,PAR,33,30,Autosome,0.00132750090909091
Smp_153250,10010200,SJC_S000041,PAR,33,30,Autosome,0.00132750090909091
Smp_303980,10060983,SJC_S000041,PAR,33,30,Autosome,0.00132750090909091
Smp_214140,10211104,SJC_S000041,PAR,33,30,Autosome,0.00132750090909091
Smp_153220,10274854,SJC_S000116,Z,33,30,Autosome,-0.0301952188732394
Smp_153210,10294415,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
Smp_153200,10331188,SJC_S007848,PAR,29,26,Autosome,n.a.
Smp_322010,10370334,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
Smp_179590,10422531,SJC_S000117,PAR,33,29,Autosome,-0.00264274275362319
Smp_153190,10490920,SJC_S000117,PAR,33,29,Autosome,-0.00264274275362319
Smp_328230,10531438,SJC_S000117,PAR,33,29,Autosome,-0.00264274275362319
Smp_347710,10542670,SJC_S000117,PAR,33,29,Autosome,-0.00264274275362319
Smp_304000,10655058,SJC_S000117,PAR,33,29,Autosome,-0.00264274275362319
Smp_153170,10666342,SJC_S000117,PAR,33,29,Autosome,-0.00264274275362319
Smp_153160,10740979,SJC_S000117,PAR,33,29,Autosome,-0.00264274275362319
Smp_153150,10772802,SJC_S000117,PAR,33,29,Autosome,-0.00264274275362319
Smp_153140,10796458,SJC_S000275,Z,26,26,Autosome,-0.0425300058333333
Smp_344560,10927459,SJC_S002551,Z,37,37,Autosome,n.a.
Smp_057650,10946946,SJC_S002551,Z,37,37,Autosome,n.a.
Smp_344550,10971507,SJC_S002047,Excluded,34,33,Autosome,-0.000989692
Smp_057630,11032783,SJC_S003635,Z,33,33,Autosome,n.a.
Smp_322040,11053286,SJC_S000425,Z,35,34,Autosome,0.0213203333333333
Smp_304030,11057026,SJC_S000425,Z,35,34,Autosome,0.0213203333333333
Smp_304040,11112921,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
Smp_057590,11127046,SJC_S000425,Z,35,34,Autosome,0.0213203333333333
Smp_335020,11129172,SJC_S000425,Z,35,34,Autosome,0.0213203333333333
Smp_332850,11182216,SJC_S000425,Z,35,34,Autosome,0.0213203333333333
Smp_057620,11245886,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
Smp_125930,11270856,SJC_S004842,Z,31,31,Autosome,n.a.
Smp_125940,11305050,SJC_S002862,Z,32,28,Autosome,-0.0182567285714286
Smp_304050,11351359,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
Smp_304060,11358398,SJC_S003891,Z,38,34,Autosome,0.04660761
Smp_125960,11385637,SJC_S002319,Z,38,38,Autosome,-0.0345568
Smp_322070,11412599,SJC_S000723,Z,36,34,Autosome,0.0167953828421053
Smp_006920,11417589,SJC_S001219,Z,38,34,Autosome,0.0548853
Smp_006930,11526840,SJC_S025547,Excluded,35,28,Autosome,n.a.
Smp_342210,11571204,SJC_S000348,Z,31,27,Autosome,0.167495795384615
Smp_332860,11598189,SJC_S000666,Z,34,32,Autosome,0.00726418076923077
Smp_006980,11645984,SJC_S000666,Z,34,32,Autosome,0.00726418076923077
Smp_093780,11664919,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
Smp_322080,11676079,SJC_S000666,Z,34,32,Autosome,0.00726418076923077
Smp_093790,11696169,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
Smp_322090,11719717,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
Smp_322100,11779627,SJC_S000116,Z,33,30,Autosome,-0.0301952188732394
Smp_105730,11792021,SJC_S000116,Z,33,30,Autosome,-0.0301952188732394
Smp_120350,11863531,SJC_S000116,Z,33,30,Autosome,-0.0301952188732394
Smp_193800,11916226,SJC_S000116,Z,33,30,Autosome,-0.0301952188732394
Smp_120320,11955632,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
Smp_337410,11966184,SJC_S000116,Z,33,30,Autosome,-0.0301952188732394
Smp_174300,12174641,SJC_S000615,Z,34,32,Autosome,-0.0222733872222222
Smp_304090,12191513,SJC_S000615,Z,34,32,Autosome,-0.0222733872222222
Smp_086330,12329185,SJC_S000615,Z,34,32,Autosome,-0.0222733872222222
Smp_322130,12339562,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
Smp_332870,12358243,SJC_S001000,SM_V7_6,30,27,Autosome,-0.038551
Smp_316910,12392462,SJC_S025559,Z,35,34,Autosome,n.a.
Smp_169140,12435332,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
Smp_169150,12460033,SJC_S000086,Z,35,32,Autosome,-0.00892493714285714
Smp_345900,12700192,SJC_S000086,Z,35,32,Autosome,-0.00892493714285714
Smp_169550,12737036,SJC_S000086,Z,35,32,Autosome,-0.00892493714285714
Smp_242530,12777682,SJC_S000086,Z,35,32,Autosome,-0.00892493714285714
Smp_322150,12787323,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
Smp_242540,12878762,SJC_S000086,Z,35,32,Autosome,-0.00892493714285714
Smp_169580,12896238,SJC_S000086,Z,35,32,Autosome,-0.00892493714285714
Smp_322160,12950762,SJC_S000086,Z,35,32,Autosome,-0.00892493714285714
Smp_168310,12956413,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
Smp_164820,12995835,SJC_S000086,Z,35,32,Autosome,-0.00892493714285714
Smp_304130,13030024,SJC_S000086,Z,35,32,Autosome,-0.00892493714285714
Smp_212880,13118672,SJC_S000723,Z,36,34,Autosome,0.0167953828421053
Smp_212890,13119748,SJC_S000723,Z,36,34,Autosome,0.0167953828421053
Smp_164860,13138837,SJC_S001859,Z,41,33,Autosome,n.a.
Smp_164880,13166040,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
Smp_079220,13287330,SJC_S000723,Z,36,34,Autosome,0.0167953828421053
Smp_336830,13423709,SJC_S000723,Z,36,34,Autosome,0.0167953828421053
Smp_245400,13467166,SJC_S000723,Z,36,34,Autosome,0.0167953828421053
Smp_322170,13491390,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
Smp_204350,13499250,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
Smp_017730,13506406,SJC_S003253,Z,33,30,Autosome,0.0198903666666667
Smp_340280,13617121,SJC_S000689,Z,32,30,Autosome,0.005170365
Smp_017710,13658865,SJC_S000689,Z,32,30,Autosome,0.005170365
Smp_131890,13748276,SJC_S000689,Z,32,30,Autosome,0.005170365
Smp_028690,13815386,SJC_S001682,Z,30,25,Autosome,-0.0482478
Smp_028670,13953988,SJC_S000031,Z,36,33,Autosome,-0.0122457203548387
Smp_322190,13991137,SJC_S000031,Z,36,33,Autosome,-0.0122457203548387
Smp_028650,14055812,SJC_S000031,Z,36,33,Autosome,-0.0122457203548387
Smp_336640,14085328,SJC_S000031,Z,36,33,Autosome,-0.0122457203548387
Smp_137610,14117238,SJC_S000031,Z,36,33,Autosome,-0.0122457203548387
Smp_137600,14199887,SJC_S002939,Z,37,36,Autosome,n.a.
Smp_196020,14203875,SJC_S002939,Z,37,36,Autosome,n.a.
Smp_137590,14220187,SJC_S005713,Z,35,35,Autosome,n.a.
Smp_332880,14246711,SJC_S000031,Z,36,33,Autosome,-0.0122457203548387
Smp_322210,14285540,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
Smp_137580,14304037,SJC_S000031,Z,36,33,Autosome,-0.0122457203548387
Smp_028500,14353339,SJC_S000031,Z,36,33,Autosome,-0.0122457203548387
Smp_028490,14380500,SJC_S000305,SM_V7_4,39,37,Autosome,0.0093293
Smp_332890,14421858,SJC_S000031,Z,36,33,Autosome,-0.0122457203548387
Smp_335660,14496651,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
Smp_028440,14513858,SJC_S000031,Z,36,33,Autosome,-0.0122457203548387
Smp_028430,14520933,SJC_S003592,Z,38,37,Autosome,n.a.
Smp_137540,14528629,SJC_S000031,Z,36,33,Autosome,-0.0122457203548387
Smp_028410,14545410,SJC_S000031,Z,36,33,Autosome,-0.0122457203548387
Smp_137530,14555538,SJC_S000031,Z,36,33,Autosome,-0.0122457203548387
Smp_346920,14614818,SJC_S000031,Z,36,33,Autosome,-0.0122457203548387
Smp_204380,14655352,SJC_S000031,Z,36,33,Autosome,-0.0122457203548387
Smp_343170,14668108,SJC_S000031,Z,36,33,Autosome,-0.0122457203548387
Smp_341820,14713468,SJC_S000031,Z,36,33,Autosome,-0.0122457203548387
Smp_340560,14733434,SJC_S000031,Z,36,33,Autosome,-0.0122457203548387
Smp_028360,14753588,SJC_S000031,Z,36,33,Autosome,-0.0122457203548387
Smp_198680,14766939,SJC_S000031,Z,36,33,Autosome,-0.0122457203548387
Smp_322220,14809066,SJC_S000031,Z,36,33,Autosome,-0.0122457203548387
Smp_204370,14817203,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
Smp_028340,14850506,SJC_S000031,Z,36,33,Autosome,-0.0122457203548387
Smp_028330,14869250,SJC_S000031,Z,36,33,Autosome,-0.0122457203548387
Smp_346990,14888566,SJC_S000031,Z,36,33,Autosome,-0.0122457203548387
Smp_343160,14951961,SJC_S000031,Z,36,33,Autosome,-0.0122457203548387
Smp_332900,15060916,SJC_S000031,Z,36,33,Autosome,-0.0122457203548387
Smp_028210,15128494,SJC_S000031,Z,36,33,Autosome,-0.0122457203548387
Smp_028200,15141909,SJC_S000031,Z,36,33,Autosome,-0.0122457203548387
Smp_322230,15211072,SJC_S025453,Z,25,28,Autosome,n.a.
Smp_028190,15240471,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
Smp_343150,15282751,SJC_S000153,Excluded,19,19,Autosome,-0.0325029784210526
Smp_322240,15336867,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
